Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
4,"NM Gordon, MZ Ralph, KD Stratman","Rapid character displacement of different call parameters in closely related treefrogs (Hyla cinerea and H. gratiosa)",2017,"Behavioral Ecology and …","Springer","https://link.springer.com/article/10.1007/s00265-017-2341-1","https://scholar.google.com/scholar?cites=11695077085772826169&as_sdt=2005&sciodt=0,5&hl=en",67,"2022-05-30 20:18:07","","10.1007/s00265-017-2341-1","","",,,,,4,0.80,1,3,5,"… changes to avoid hybridization can occur in … range shift in response to rising temperatures associated with global warming. In species such as cutthroat and rainbow trout, climate change…","https://www.researchgate.net/profile/Madison-Ralph/publication/318457982_Rapid_character_displacement_of_different_call_parameters_in_closely_related_treefrogs_Hyla_cinerea_and_H_gratiosa/links/59f38428aca272607e291568/Rapid-character-displacement-of-different-call-parameters-in-closely-related-treefrogs-Hyla-cinerea-and-H-gratiosa.pdf","https://scholar.google.com/scholar?q=related:OcZMdqVCTaIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"E Quintero Melecio, Y Rico, A Lira Noriega…","Molecular evidence and ecological niche modeling reveal an extensive hybrid zone among three Bursera species (section Bullockia)",2021,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260382","https://scholar.google.com/scholar?cites=1432534921347768855&as_sdt=2005&sciodt=0,5&hl=en",68,"2022-05-30 20:18:07","HTML","","","",,,,,1,1.00,0,4,1,"… hybridization, but no molecular evidence has supported their hybrid origins. This study aimed to investigate the existence of interspecific hybridization … plots, a range shift of the niche …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0260382","https://scholar.google.com/scholar?q=related:F6JGy-ti4RMJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
11,"S Ceccarelli, S Grando","Evolutionary plant breeding as a response to the complexity of climate change",2020,"Iscience","Elsevier","https://www.sciencedirect.com/science/article/pii/S2589004220310129","https://scholar.google.com/scholar?cites=7099441434826481804&as_sdt=2005&sciodt=0,5&hl=en",69,"2022-05-30 20:18:07","HTML","","","",,,,,11,5.50,6,2,2,"… , insects, and weeds in a largely unpredictable and continuously evolving way, a further aspect of climate change … lines or hybrids, making the reduction of agrobiodiversity even greater. …","https://www.sciencedirect.com/science/article/pii/S2589004220310129","https://scholar.google.com/scholar?q=related:jKCF2l5IhmIJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"G Casazza, T Abeli, G Bacchetta, D Dagnino…","Combining conservation status and species distribution models for planning assisted colonisation under climate change",2021,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13606","https://scholar.google.com/scholar?cites=14446613814270143593&as_sdt=2005&sciodt=0,5&hl=en",70,"2022-05-30 20:18:07","","10.1111/1365-2745.13606","","",,,,,4,4.00,1,5,1,"… Effects of climate change are particularly important in the Mediterranean Biodiversity hotspot where … the effect of climate change on endemic plant species threatened by climate change. …","","https://scholar.google.com/scholar?q=related:aazS_riufMgJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
57,"T Capblancq, MC Fitzpatrick, RA Bay…","Genomic prediction of (mal) adaptation across current and future climatic landscapes",2020,"Annual Review of …","annualreviews.org","https://www.annualreviews.org/doi/abs/10.1146/annurev-ecolsys-020720-042553","https://scholar.google.com/scholar?cites=11938973453395055997&as_sdt=2005&sciodt=0,5&hl=en",71,"2022-05-30 20:18:07","","10.1146/annurev-ecolsys-020720-042553","","",,,,,57,28.50,14,4,2,"… In general, we expect climate change to perturb locally … in future climates, insect crop pests will experience accelerated … impact of admixture or hybridization among species. The recent …","https://www.annualreviews.org/doi/full/10.1146/annurev-ecolsys-020720-042553","https://scholar.google.com/scholar?q=related:fVVuuBnBr6UJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
44,"SD Mamet, CD Brown, AJ Trant…","Shifting global Larix distributions: Northern expansion and southern retraction as species respond to changing climate",2019,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jbi.13465","https://scholar.google.com/scholar?cites=7169793465629296597&as_sdt=2005&sciodt=0,5&hl=en",72,"2022-05-30 20:18:07","","10.1111/jbi.13465","","",,,,,44,14.67,11,4,3,"… Contemporary rapid climate change is defined in this paper … range-modulating factors beyond climate change, we also retrieved … sibirica range shift patterns were split between tree line …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/jbi.13465","https://scholar.google.com/scholar?q=related:1UfAdys5gGMJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"SJS Wuitchik, S Mogensen, TN Barry, A Paccard…","Evolution of thermal physiology alters predicted species distributions under climate change",2021,"bioRxiv","biorxiv.org","https://www.biorxiv.org/content/10.1101/2021.02.25.432865.abstract","https://scholar.google.com/scholar?cites=16940653967981339311&as_sdt=2005&sciodt=0,5&hl=en",73,"2022-05-30 20:18:07","","10.1101/2021.02.25.432865.abstract","","",,,,,1,1.00,0,5,1,"… under climate change 3 - an issue of particular concern for species at risk and pest species … Overall, we produced one F1 family of M1xFW1 hybrids (hereafter referred to as H1_F1) …","https://www.biorxiv.org/content/biorxiv/early/2021/09/01/2021.02.25.432865.full.pdf","https://scholar.google.com/scholar?q=related:r-JWSAdLGesJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"PH Noah, NL Cagle, JW Westbrook…","Identifying resilient restoration targets: Mapping and forecasting habitat suitability for Castanea dentata in Eastern USA under different climate-change …",2021,"Climate Change …","Elsevier","https://www.sciencedirect.com/science/article/pii/S266690052100037X","https://scholar.google.com/scholar?cites=5542140876155145449&as_sdt=2005&sciodt=0,5&hl=en",74,"2022-05-30 20:18:07","HTML","","","",,,,,1,1.00,0,4,1,"… Hybrids of Chinese and American chestnut were … led to a range shift by 2070 that resembled the range shift by 2100 … Examples of problematic, non-native pests include Asian gall wasp…","https://www.sciencedirect.com/science/article/pii/S266690052100037X","https://scholar.google.com/scholar?q=related:6UxmasOj6UwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
8,"GC Conroy, Y Shimizu-Kimura, RW Lamont…","A multidisciplinary approach to inform assisted migration of the restricted rainforest tree, Fontainea rostrata",2019,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210560","https://scholar.google.com/scholar?cites=10943232311734631923&as_sdt=2005&sciodt=0,5&hl=en",75,"2022-05-30 20:18:07","HTML","","","",,,,,8,2.67,2,4,3,"… climate change are predicted to further compromise the ability of many species to persist, due to potential range shift … Although there is potential for hybridization, genetic swamping, and …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0210560","https://scholar.google.com/scholar?q=related:8_2Ey84r3pcJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
6,"MA Zettlemoyer, ML Peterson","Does phenological plasticity help or hinder range shifts under climate change?",2021,"Frontiers in Ecology and Evolution","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fevo.2021.689192/full","https://scholar.google.com/scholar?cites=6943815967531549614&as_sdt=2005&sciodt=0,5&hl=en",76,"2022-05-30 20:18:07","HTML","10.3389/fevo.2021.689192","","",,,,,6,6.00,3,2,1,"… and 44 unique tree species) 53 insects (43 species), 7 mammal (… plasticity in range shifts under climate change. (H1) Each line … (H3) Boxes show the range shift of a population in space. …","https://www.frontiersin.org/articles/10.3389/fevo.2021.689192/full","https://scholar.google.com/scholar?q=related:rkNnItVjXWAJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"K Konowalik, M Proćków, J Proćków","… Selinum alatum (Apiaceae, Selineae), a new invasive plant species in Central Europe and its alterations according to the climate change scenarios: Are the …",2017,"PloS one","journals.plos.org","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0182793","https://scholar.google.com/scholar?cites=4957965314833725864&as_sdt=2005&sciodt=0,5&hl=en",77,"2022-05-30 20:18:07","HTML","","","",,,,,4,0.80,1,3,5,"… , by intra- and interspecific hybridization in the introduced range … With respect to other insects directly linked to the areas … The major range shift differences are observed in the Central …","https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0182793","https://scholar.google.com/scholar?q=related:qDlfdy87zkQJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
23,"S McIntyre, EF Rangel, PD Ready, BM Carvalho","… predicts different range contractions for Lutzomyia intermedia and a related vector of Leishmania braziliensis following climate change in South America",2017,"Parasites & vectors","Springer","https://link.springer.com/article/10.1186/s13071-017-2093-9","https://scholar.google.com/scholar?cites=10139134579733839316&as_sdt=2005&sciodt=0,5&hl=en",78,"2022-05-30 20:18:07","HTML","10.1186/s13071-017-2093-9","","",,,,,23,4.60,6,4,5,"… , behaviour and lifespan of many insects [2]. Climatic … neivai the predictions were for a large range shift southwards… a PCR multiplex non-isotopic hybridisation assay. T Roy Soc …","https://link.springer.com/article/10.1186/s13071-017-2093-9","https://scholar.google.com/scholar?q=related:1D3qSi5xtYwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
2,"J Jourdan, R Riesch, S Cunze","Off to new shores: Climate niche expansion in invasive mosquitofish (Gambusia spp.)",2021,"Ecology and evolution","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.8427","https://scholar.google.com/scholar?cites=3324488704537142159&as_sdt=2005&sciodt=0,5&hl=en",79,"2022-05-30 20:18:07","","10.1002/ece3.8427","","",,,,,2,2.00,1,3,1,"… their presumed value in controlling mosquito-borne diseases, … from climate change is enormous—especially in Europe. … continents: While a northward range shift is predicted in North …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.8427","https://scholar.google.com/scholar?q=related:jyO85dz0Ii4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
3,"N Lacković, M Pernek, C Bertheau, D Franjević…","Limited genetic structure of gypsy moth populations reflecting a recent history in Europe",2018,"Insects","mdpi.com","https://www.mdpi.com/353350","https://scholar.google.com/scholar?cites=3445850575334780836&as_sdt=2005&sciodt=0,5&hl=en",80,"2022-05-30 20:18:07","","","","",,,,,3,0.75,1,5,4,"… dispar japonica clusters, highlighting this area as a possible hybridization zone of this … dispar dispar support a range shift of up to 900 km northwards in Europe as a consequence of …","https://www.mdpi.com/2075-4450/9/4/143/pdf","https://scholar.google.com/scholar?q=related:pK_nY9ce0i8J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"AR Carey","Landscape genetic connectivity and sex-specific responses in a range expanding damselfly",2018,"","scholar.archive.org","https://scholar.archive.org/work/fcycgpmycjghnhvdosam2xbd4u/access/wayback/https://s3-ap-southeast-2.amazonaws.com/pstorage-mq-9738860830/34532168/01whole.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3OGA3B5WIXFT74VL/20220329/ap-southeast-2/s3/aws4_request&X-Amz-Date=20220329T112623Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=5de218614356d7dd8ae9f21ef3136c9e4d546f743d31eceefb2e863f85bb19a2","",81,"2022-05-30 20:18:07","PDF","","","",,,,,0,0.00,0,1,4,"… Hybridisation is broadly defined as the successful mating … induced by climate change have been documented in many insect taxa. … during a climate-change induced range expansion. …","https://scholar.archive.org/work/fcycgpmycjghnhvdosam2xbd4u/access/wayback/https://s3-ap-southeast-2.amazonaws.com/pstorage-mq-9738860830/34532168/01whole.pdf?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA3OGA3B5WIXFT74VL/20220329/ap-southeast-2/s3/aws4_request&X-Amz-Date=20220329T112623Z&X-Amz-Expires=10&X-Amz-SignedHeaders=host&X-Amz-Signature=5de218614356d7dd8ae9f21ef3136c9e4d546f743d31eceefb2e863f85bb19a2",""
2,"J Winde, M Sønderkær, KL Nielsen, M Pagter","Is range expansion of introduced Scotch broom (Cytisus scoparius) in Denmark limited by winter cold tolerance?",2020,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-020-01044-x","https://scholar.google.com/scholar?cites=17104035109394047570&as_sdt=2005&sciodt=0,5&hl=en",82,"2022-05-30 20:18:07","","10.1007/s11258-020-01044-x","","",,,,,2,1.00,1,4,2,"… scoparius could provide valuable information for building process-based species distribution models predicting its geographic distribution and range shift following climate change. …","","https://scholar.google.com/scholar?q=related:UuI9mU-9Xe0J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
48,"AJ Cortés, M Restrepo-Montoya…","Modern strategies to assess and breed forest tree adaptation to changing climate",2020,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2020.583323/full","https://scholar.google.com/scholar?cites=4148706178491307762&as_sdt=2005&sciodt=0,5&hl=en",83,"2022-05-30 20:18:07","HTML","10.3389/fpls.2020.583323","","",,,,,48,24.00,16,3,2,"… adapt in situ to global climate change. However, this … tree genetic improvement rely on hybrids and backcrossing. … increased heterozygosity resulting from hybridization (ie, an …","https://www.frontiersin.org/articles/10.3389/fpls.2020.583323/full","https://scholar.google.com/scholar?q=related:8lZx3kkqkzkJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
6,"JS Groh, DM Percy, CR Björk, QCB Cronk","On the origin of orphan hybrids between Aquilegia formosa and Aquilegia flavescens",2019,"AoB Plants","academic.oup.com","https://academic.oup.com/aobpla/article-abstract/11/1/ply071/5191747","https://scholar.google.com/scholar?cites=2167900901085686542&as_sdt=2005&sciodt=0,5&hl=en",84,"2022-05-30 20:18:07","","","","",,,,,6,2.00,2,4,3,"… The functional significance of this trait may relate to exclusion of insect pollinators. … further attenuated under climate change if A. formosa undergoes an upward altitudinal range shift, as …","https://academic.oup.com/aobpla/article/11/1/ply071/5191747","https://scholar.google.com/scholar?q=related:Dit2LWLuFR4J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
47,"M Booth","Climate change and the neglected tropical diseases",2018,"Advances in parasitology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0065308X18300046","https://scholar.google.com/scholar?cites=12223926748137632645&as_sdt=2005&sciodt=0,5&hl=en",85,"2022-05-30 20:18:07","","","","",,,,,47,11.75,47,1,4,"… the life cycle (eg, by forcing a range shift). Evidence for this occurring already has emerged … This urban dwelling mosquito is perhaps the most sensitive indicator of how environmental …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7103135/","https://scholar.google.com/scholar?q=related:hbMjv5wcpKkJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
22,"D Romero-Mujalli, F Jeltsch, R Tiedemann","Individual-based modeling of eco-evolutionary dynamics: state of the art and future directions",2019,"Regional Environmental …","Springer","https://link.springer.com/article/10.1007/s10113-018-1406-7","https://scholar.google.com/scholar?cites=11976037018402336967&as_sdt=2005&sciodt=0,5&hl=en",86,"2022-05-30 20:18:07","","10.1007/s10113-018-1406-7","","",,,,,22,7.33,7,3,3,"… experienced, such as climate change, changes in resource … by dispersal (potentially causing range shift of the population)… , whether it could potentially affect range shift, or whether it was …","https://www.researchgate.net/profile/Daniel-Romero-Mujalli/publication/327103075_Individual-based_modeling_of_eco-evolutionary_dynamics_state_of_the_art_and_future_directions/links/5b7fc8e6299bf1d5a72422f1/Individual-based-modeling-of-eco-evolutionary-dynamics-state-of-the-art-and-future-directions","https://scholar.google.com/scholar?q=related:x7DMajduM6YJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"S Paudel","Insect-plant Interactions in a Warming World: Effects of Elevated Temperature on Tomatoes and Their Insect Herbivores",2019,"","etda.libraries.psu.edu","https://etda.libraries.psu.edu/catalog/17181sup215","",87,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,3,"… to trigger plant defense responses; insects reared at a … Similarly, induction of plant defenses and plant resistance to the insect … to how climate change may alter plant-insect interactions. …","https://etda.libraries.psu.edu/files/final_submissions/20532","https://scholar.google.com/scholar?q=related:s0mYWyDdc8IJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"A Farashi, Z Karimian","Assessing climate change risks to the geographical distribution of grass species",2021,"Plant Signaling & Behavior","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15592324.2021.1913311","",88,"2022-05-30 20:18:07","","10.1080/15592324.2021.1913311","","",,,,,0,0.00,0,2,1,"… In this study, all species showed a range shift toward higher elevation (Figure 4). Such … disease and pest resistance and adaptation to environmental change, including climate change. …","https://www.tandfonline.com/doi/pdf/10.1080/15592324.2021.1913311","https://scholar.google.com/scholar?q=related:KJxdRKpCGuAJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"SA Merker","Factors Limiting the Distributions of Trailing-edge Populations in the Southern Appalachian Mountains",2017,"","getd.libs.uga.edu","http://getd.libs.uga.edu/pdfs/merker_samuel_a_201705_ms.pdf","https://scholar.google.com/scholar?cites=5103807140369196259&as_sdt=2005&sciodt=0,5&hl=en",89,"2022-05-30 20:18:07","PDF","","","",,,,,1,0.20,1,1,5,"… their demographic and ecological responses to climate change, we propose a research agenda … with taxa, that commonly hybridize such as plants and insects. We classified species as …","http://getd.libs.uga.edu/pdfs/merker_samuel_a_201705_ms.pdf","https://scholar.google.com/scholar?q=related:4-TOk41d1EYJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
3,"J Smetzer, TL Morelli","Incorporating Climate Change Refugia Into Climate Adaptation in the Acadia National Park Region",2019,"","scholarworks.smith.edu","https://scholarworks.smith.edu/cgi/viewcontent.cgi?article=1043&context=second_century_refugia","https://scholar.google.com/scholar?cites=6247970966264572723&as_sdt=2005&sciodt=0,5&hl=en",90,"2022-05-30 20:18:07","PDF","","","",,,,,3,1.00,2,2,3,"… We drew upon existing climate change vulnerability … on species vulnerable to climate change and of high conservation … Olive-sided flycatchers hunt for aerial arthropods (flying bugs …","https://scholarworks.smith.edu/cgi/viewcontent.cgi?article=1043&context=second_century_refugia","https://scholar.google.com/scholar?q=related:M2snm31AtVYJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"OK Bates, C Bertelsmeier","Climatic niche shifts in introduced species",2021,"Current Biology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0960982221011398","https://scholar.google.com/scholar?cites=2604799213878107042&as_sdt=2005&sciodt=0,5&hl=en",91,"2022-05-30 20:18:07","","","","",,,,,1,1.00,1,2,1,"… changes have intensified 2 through accelerating climate change, deforestation, urbanization, land … Niche unfilling: When a species range shift has occurred and part of the niche space …","","https://scholar.google.com/scholar?q=related:ottrjhUbJiQJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
4,"J Eldon, MR Bellinger, DK Price","Hawaiian picture‐winged Drosophila exhibit adaptive population divergence along a narrow climatic gradient on Hawaii Island",2019,"Ecology and evolution","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6405895/","https://scholar.google.com/scholar?cites=15073580169188740028&as_sdt=2005&sciodt=0,5&hl=en",92,"2022-05-30 20:18:07","HTML","","","",,,,,4,1.33,1,3,3,"… may be particularly vulnerable to global climate change due to the … Labeled samples were hybridized at 65C overnight on a … In addition, rather than observing a simple range shift, where …","https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6405895/",""
1,"J Bridle, A Hoffmann","Understanding the biology of species' ranges: when and how does evolution change the rules of ecological engagement?",2022,"Philosophical Transactions of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2021.0027","https://scholar.google.com/scholar?cites=9206511717656125840&as_sdt=2005&sciodt=0,5&hl=en",93,"2022-05-30 20:18:07","","10.1098/rstb.2021.0027","","",,,,,1,1.00,1,2,1,"… In addition, models that predict the impact of climate change on … new alleles introduced through hybridization allowing for hard … [61], who show how the ability of insects to plastically …","",""
8,"Y Liu, HT Pham, Z He, C Wei","Phylogeography of the cicada Platypleura hilpa in subtropical and tropical East Asia based on mitochondrial and nuclear genes and microsatellite markers",2020,"International Journal of Biological …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0141813020301975","https://scholar.google.com/scholar?cites=12034332661317868201&as_sdt=2005&sciodt=0,5&hl=en",94,"2022-05-30 20:18:07","","","","",,,,,8,4.00,2,4,2,"… Despite a southwestward range shift in general, this species did not retreat entirely to the … revealing the potential impact of climate change on this herbivorous insect and other terrestrial …","","https://scholar.google.com/scholar?q=related:qZq7esuJAqcJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
5,"JA Dar, K Subashree, NA Bhat…","Role of major forest biomes in climate change mitigation: An eco-biological perspective",2020,"Socio-economic and …","Springer","https://link.springer.com/chapter/10.1007/978-3-030-32463-6_24","https://scholar.google.com/scholar?cites=5665504247230637172&as_sdt=2005&sciodt=0,5&hl=en",95,"2022-05-30 20:18:07","","10.1007/978-3-030-32463-6_24","","",,,,,5,2.50,1,4,2,"… is a serious ecological threat to climate change due to lowering biodiversity, altering ecosystem functions, making the ecosystems more vulnerable to forest fires, pest attacks, etc. …","https://www.researchgate.net/profile/Javid-Dar-2/publication/338884664_Role_of_Major_Forest_Biomes_in_Climate_Change_Mitigation_An_Eco-Biological_Perspective/links/5e311e45a6fdccd965734281/Role-of-Major-Forest-Biomes-in-Climate-Change-Mitigation-An-Eco-Biological-Perspective.pdf","https://scholar.google.com/scholar?q=related:dCSmgRjqn04J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
16,"A Wróblewska, P Mirski","From past to future: Impact of climate change on range shifts and genetic diversity patterns of circumboreal plants",2018,"Regional Environmental Change","Springer","https://link.springer.com/article/10.1007/s10113-017-1208-3","https://scholar.google.com/scholar?cites=11531267289666127811&as_sdt=2005&sciodt=0,5&hl=en",96,"2022-05-30 20:18:07","HTML","10.1007/s10113-017-1208-3","","",,,,,16,4.00,8,2,4,"Climate change is projected to influence the genetic resources of plant species. Recent research has examined genetic diversity patterns under current climate conditions, with little …","https://link.springer.com/article/10.1007/s10113-017-1208-3","https://scholar.google.com/scholar?q=related:w4ehMoFKB6AJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"G Skjelstad","Reproductive allocation and floral traits of insect-pollinated forbs along climatic gradients in semi-natural grasslands",2020,"","bora.uib.no","https://bora.uib.no/bora-xmlui/handle/1956/22888","",97,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,2,"… climate change. The aim of this study was to investigate how reproductive allocation and floral traits of insect… effects of climate change on the communities of insectpollinated forbs and …","https://bora.uib.no/bora-xmlui/bitstream/handle/1956/22888/Skjelstad_MSc_020620.pdf?sequence=1","https://scholar.google.com/scholar?q=related:0BfuAWVRGGwJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
0,"R Lewis","Thermal adaptation in a model pest insect",2020,"","ueaeprints.uea.ac.uk","https://ueaeprints.uea.ac.uk/id/eprint/79830/","",98,"2022-05-30 20:18:07","","","","",,,,,0,0.00,0,1,2,"… adaptation in insects, which suggests that there is a chance they may cope with climate change. … For example, the expected range shift in Australian Drosophila was modelled based on …","https://ueaeprints.uea.ac.uk/id/eprint/79830/1/2020LewisRPhD.pdf","https://scholar.google.com/scholar?q=related:fJ1AH4q_L54J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
7,"H Pauli, SRP Halloy","High mountain ecosystems under climate change",2019,"Oxford Research Encyclopedia of Climate …","oxfordre.com","https://oxfordre.com/climatescience/view/10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-764","https://scholar.google.com/scholar?cites=6535611959755985434&as_sdt=2005&sciodt=0,5&hl=en",99,"2022-05-30 20:18:07","","10.1093/acrefore/9780190228620.001.0001/acrefore-9780190228620-e-764","","",,,,,7,2.33,4,2,3,"… Increases in species’ abundance were more pronounced than range shift across the … are lacking, but ample evidence is available for flying insects, such as butterflies and moths. Pole- …","","https://scholar.google.com/scholar?q=related:GtIMQ3Mos1oJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"A Hove, B Haggerty, S Mazer","Phenological Responses To Climate Change II: Demographic and Geographic Range Shifts",2017,"Accessed May","cpp.usanpn.org","https://cpp.usanpn.org/sites/cpp.usanpn.org/files/pdfs/Phenology%20Seminar%20Module%207.pdf","https://scholar.google.com/scholar?cites=677884656324900852&as_sdt=2005&sciodt=0,5&hl=en",100,"2022-05-30 20:18:07","PDF","","","",,,,,1,0.20,0,3,5,"… This study documents a rapid invasion by a novel forest pest insect, A. … No species showed opposing range shift trends (northward … Here we hybridize the two approaches by applying an …","https://cpp.usanpn.org/sites/cpp.usanpn.org/files/pdfs/Phenology%20Seminar%20Module%207.pdf","https://scholar.google.com/scholar?q=related:9Pfu2oBUaAkJ:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
1,"J Zohren","Introgression in Betula Species of Different Ploidy Levelsand the Analysis of the Betula nana Genome",2017,"","qmro.qmul.ac.uk","https://qmro.qmul.ac.uk/xmlui/handle/123456789/24564","https://scholar.google.com/scholar?cites=12499186689970336673&as_sdt=2005&sciodt=0,5&hl=en",101,"2022-05-30 20:18:07","","","","",,,,,1,0.20,1,1,5,"… This result suggests a range shift of the species from different distributions in the past. … be mediated by climate change or human interaction) first filial generation (F1) hybrids of varying …","https://qmro.qmul.ac.uk/xmlui/bitstream/handle/123456789/24564/Zohren_J_PhD_final_080317.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:ofP4LBIIdq0J:scholar.google.com/&scioq=insect+hybridization+%22climate+change%22+%22range+shift%22&hl=en&as_sdt=0,5&as_ylo=2016"
